College,Degree,Hours_Required,On-Campus,Online,Hybrid,Undergraduate,Certificate_Endorsement,Associate,Graduate
Dempsey College of L&PA,Minor in Geography,18,Yes,No,No,Yes,No,No,No
College of Science and Engineering,Minor in Geology,24,Yes,No,No,Yes,No,No,No
College of Science and Engineering,Minor in Horticulture,21,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Juvenile Justice,18,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Philosophy and Religious Studies,18,Yes,No,No,Yes,No,No,No
College of Science and Engineering,Minor in Physics,20,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Teaching English as a Second Language,18,Yes,No,No,Yes,No,No,No
College of Education,Music Education (Instrumental) BFA,125,Yes,No,No,Yes,No,No,No
College of Education,Music Education (Vocal) BFA,0,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Music Performance (Instrumental) BFA,0,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Music Performance (Vocal) BFA,0,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Music with Studies in Business BFA,0,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Musical Theatre BFA,120,Yes,No,No,Yes,No,No,No
College of Science and Engineering,Nursing (BSN),120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Political Science,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Pre-Art Therapy BFA,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Psychology,120,Yes,No,No,Yes,No,No,No
College of Science and Engineering,Public Health,120,Yes,No,No,Yes,No,No,No
College of Education,School Counseling Graduate Certificate,12,No,Yes,Yes,No,Yes,No,Yes
Dempsey College of L&PA,Social Work,120,Yes,No,Yes,Yes,No,No,No
College of Education,Special Education K-12 Graduate Certificate,24,No,Yes,No,No,Yes,No,Yes
College of Education,Sport Management,120,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Studio Art BFA,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Supply Chain Management,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Supply Chain Management Graduate Certificate,12,Yes,Yes,No,No,Yes,No,Yes
Dempsey College of L&PA,Theatre BFA,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,University Studies,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,University Studies (Associates),60,Yes,No,No,No,No,Yes,No
Rankin College of Buisiness,Wealth Management,120,Yes,No,No,Yes,No,No,No
