College,Degree,Hours_Required,Categories,Delivery,Delivery_Method_1,Delivery_Method_2,Delivery_Method_3,Category_1,Category_2,Category_3,On-Campus,Online,Hybrid,Minor,Major,Undergraduate,Certificate_Endorsement,Associate,Graduate
College of Science and Engineering,Chemistry (Forensic Science),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Chemistry (Medical Laboratory Science),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Chemistry (Pre-Health Professional Biochemistry),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Chemistry (Science Option),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Comparative Literature,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Computer Science,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Science and Engineering,Computer Science (Computer Game & Animation Design),123,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Computer Science (Privacy and Cyber Security Option),120,"Major, Undergraduate","Hybrid, On-Campus",Hybrid,On-Campus,,Major,Undergraduate,,Yes,No,Yes,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Criminal Justice,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Cyber Criminology,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Cyber Security and Privacy Graduate Certificate,12,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
Rankin College of Buisiness,Data Analytics Graduate Certificate,12,"Certificate / Endorsement, Graduate","On-Campus, Online",On-Campus,Online,,Certificate / Endorsement,Graduate,,Yes,Yes,No,No,No,No,Yes,No,Yes
College of Education,Doctor of Education in Rural and Diverse Educational Leadership,60,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
College of Education,EDAS: Building Level Leadership Graduate Certificate,18,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,EDAS: District Level Leadership Graduate Certificate,18,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,EDAS: Program Administrator Graduate Certificate,18,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,Education Graduate Certificate,12,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,Elementary Education (Associates),61,"Associate, Undergraduate",On-Campus,On-Campus,,,Associate,Undergraduate,,Yes,No,No,No,No,Yes,No,Yes,No
College of Education,Elementary Education (K-6 STEM),120,"Major, Undergraduate","Hybrid, On-Campus",Hybrid,On-Campus,,Major,Undergraduate,,Yes,No,Yes,No,Yes,Yes,No,No,No
College of Science and Engineering,Engineering,124,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Engineering-Physics (Chemical Engineering),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Engineering-Physics (Engineering Technology),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Engineering-Physics (Industrial Technology),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Engineering-Physics (Science Option),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,English,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Education,English (Education),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,English (Writing),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
